Season,Name,Team,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
2019-2020,AJ Brodeur,Penn,Sr.,6-8,F,27,186,17,78,467,17.3,369,50.4,,,,,,240,8.9,140,5.2,48,1.78,,,75,1.87,1,12,935:40,34:39,60,180
2019-2020,AJ Green,UNI,So.,6-4,G,31,204,91,111,610,19.7,490,,2.94,233,39.1,121,91.7,,,,,,,,,,,,,1082:00,34:54,,
2019-2020,AJ Walker,Air Force,So.,6-2,G,32,,,,,,,,,,,,,,,98,,,,,,65,1.51,,,,,,
2019-2020,AJ Wilson,George Mason,Jr.,6-7,F,32,,,,,,,,,,,,,237,7.4,,,92,2.88,,,,,,5,,,92,145
2019-2020,Aamir Simms,Clemson,Jr.,6-8,F,30,,,,,,,,,,,,,217,7.2,,,,,,,,,,5,,,68,149
2019-2020,Aaron Carver,Old Dominion,Sr.,6-7,F,32,,,,,,,,,,,,,328,10.3,,,,,,,,,,,,,92,236
2019-2020,Aaron Clarke,Sacred Heart,So.,6-1,G,30,,,85,,,,,,,,105,81.0,,,,,,,,,,,,,,,,
2019-2020,Aaron Thompson,Butler,Jr.,6-2,G,27,,,,,,,,,,,,,,,126,4.7,,,,,51,2.47,,,,,,
2019-2020,Abdou Ndiaye,Illinois St.,Fr.,6-9,F,28,,,,,,,,,,,,,,,,,31,1.11,,,,,,,,,,
2019-2020,Abdul Ado,Mississippi St.,Jr.,6-11,F,31,,,,,,,,,,,,,209,6.7,,,58,1.87,,,,,,,,,100,109
2019-2020,Abel Porter,Utah St.,Jr.,6-3,G,34,,,,,,,,,,,,,,,110,,,,,,55,2.00,,,,,,
2019-2020,Adam Grant,Bryant,Sr.,6-1,G,32,175,101,69,520,16.3,445,,3.16,276,36.6,,,,,,,,,,,,,,,1058:01,,,
2019-2020,Adam Kunkel,Belmont,So.,6-4,G,33,188,83,87,546,16.5,434,43.3,2.52,213,39.0,106,82.1,,,,,,,,,,,,,,,,
2019-2020,Ade Murkey,Denver,Sr.,6-5,G,31,205,30,136,576,18.6,426,48.1,,,,186,,,5.00,,,,,,,,,,4,,,,155
2019-2020,Adrian Nelson,Northern Ky.,So.,6-7,F,29,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,64,
2019-2020,Adrio Bailey,Arkansas,Sr.,6-6,F,32,,,,,,,,,,,,,,,,,45,1.41,,,,,,,,,,
2019-2020,Ahmad Clark,UAlbany,Sr.,6-1,G,31,172,49,142,535,17.3,439,,,,,175,81.1,,,134,4.3,,,50,1.61,,,,,1035:12,33:23,,
2019-2020,Ahmad Frost,UMES,Sr.,6-1,G,32,,43,,,,,,,172,,,,,,,,,,,,,,,,,,,
2019-2020,Ahsan Asadullah,Lipscomb,So.,6-9,C,31,252,3,69,576,18.6,485,52.0,,,,,,312,10.1,122,3.9,36,1.16,,,,,,15,,,83,229
2019-2020,Ako Adams,Rice,Sr.,6-2,G,31,,81,,,,,,2.61,215,37.7,,,,,,,,,,,,,,,,,,
2019-2020,Akok Akok,UConn,Fr.,6-10,F,25,,,,,,,,,,,,,,,,,66,2.64,,,,,,,,,,
2019-2020,Alani Moore II,Temple,Sr.,5-10,G,31,,66,,,,,,2.13,166,,,,,,,,,,,,,,,,,,,
2019-2020,Alessandro Lever,Grand Canyon,Jr.,6-10,C,30,182,31,75,470,15.7,340,53.5,,,,95,78.9,,,,,,,,,,,,,1000:42,33:21,,
2019-2020,Alex Arians,South Dakota St.,So.,6-4,G,32,,,,,,,,,,,,,,5.28,,,,,,,,,,,,,,169
2019-2020,Alex Caldwell,Southeast Mo. St.,So.,6-0,G,31,,,,,,,,,,,,,,,95,,,,,,69,1.38,,,,,,
2019-2020,Alex Hunter,Furman,Jr.,5-11,G,32,,64,,,,,,2.00,182,,,,,,117,3.7,,,,,33,3.55,,,,,,
2019-2020,Alex Lomax,Memphis,So.,6-0,G,31,,,,,,,,,,,,,,,132,4.3,,,46,1.48,78,1.69,,,,,,
2019-2020,Alex Reese,Alabama,Jr.,6-9,F,31,,51,,,,,,,171,,,,,,,,30,0.97,,,,,,,,,,
2019-2020,Algevon Eichelberger,Cleveland St.,Jr.,6-8,F,29,159,,98,,,343,46.4,,,,157,,,2.62,,,,,,,,,,4,,,76,
2019-2020,Aljami Durham,Indiana,Jr.,6-4,G,32,,,90,,,,,,,,111,81.1,,,,,,,,,,,,,,,,
2019-2020,Alonzo Verge Jr.,Arizona St.,Jr.,6-3,G,28,158,,,,,361,43.8,,,,,,,,,,,,39,1.39,,,,,,,,
2019-2020,Alonzo Walker,Portland St.,Sr.,6-6,F,29,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,71,
2019-2020,Alpha Diallo,Providence,Sr.,6-7,G,31,155,,96,,,374,,,,,152,,241,7.8,,,29,0.94,48,1.55,,,,9,,,100,141
2019-2020,Alterique Gilbert,UConn,Jr.,6-0,G,30,,,,,,,,,,,,,,,113,3.8,,,,,70,1.61,,,,,,
2019-2020,Amadou Sow,UC Santa Barbara,So.,6-9,F,31,168,,,,,307,54.7,,,,,,218,7.0,,,35,1.13,,,,,,5,,,71,147
2019-2020,Amadou Sylla,Tennessee Tech,So.,6-8,F,31,,,,,,,,,,,,,,2.26,,,29,0.94,,,,,,,,,70,
2019-2020,Amari Davis,Green Bay,Fr.,6-2,G,33,215,0,94,524,15.9,418,51.4,,,,,,,,,,,,,,,,,,,,,
2019-2020,Amauri Hardy,UNLV,Jr.,6-2,G,32,163,63,76,465,,399,,,189,,,,,,107,3.3,,,,,76,1.41,,,1109:14,34:39,,
2019-2020,Andre Adams,Southern Utah,Sr.,6-9,F,23,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
2019-2020,Andre Fox,South Alabama,Jr.,6-4,G,31,,,84,,,,,,,,99,84.8,,,,,,,,,,,,,,,,
2019-2020,Andre Jones,Nicholls,Jr.,6-4,G,30,154,,,,,300,51.3,,,,,,,,,,,,43,1.43,,,1,,,,,
2019-2020,Andres Feliz,Illinois,Sr.,6-2,G,31,,,80,,,,,,,,104,76.9,,,,,,,,,,,,,,,,
2019-2020,Andrew Fleming,Maine,Sr.,6-7,F,30,164,,,,,335,49.0,,,,,,,,,,,,43,1.43,,,,,1026:51,34:13,,
2019-2020,Andrew Funk,Bucknell,So.,6-5,G,33,,,,,,,,,,,,,,,,,,,,,,,,,1075:31,,,
2019-2020,Andrew Garcia,Stony Brook,Sr.,6-6,G,33,,,95,,,,,,,,120,79.2,221,6.7,,,,,53,1.61,,,,6,,,89,132
2019-2020,Andrew Jones,Texas,So.,6-4,G,31,,62,,,,,,2.00,162,,,,,,,,,,,,,,,,,,,
2019-2020,Andrew Kostecka,Loyola Maryland,Sr.,6-4,G,29,192,46,146,576,19.9,381,50.4,,,,177,82.5,,,,,,,56,1.93,,,,,,,,
2019-2020,Andrew Lewis,Chicago St.,Jr.,6-3,G,26,,,97,,,,,,,,112,86.6,,,,,,,,,,,,,,,,
2019-2020,Andrew Nembhard,Florida,So.,6-5,G,31,,,,,,,,,,,,,,,173,5.6,,,,,80,2.16,,,1029:56,,,
2019-2020,Andrew Robinson,Coppin St.,Sr.,6-6,G,31,,91,,,,,,2.94,275,33.1,,,,,,,,,,,,,,,1045:06,33:42,,
2019-2020,Andrew Taylor,Marshall,Fr.,6-3,G,23,,,,,,,,,,,,,,,,,,,42,,,,,,,,,
2019-2020,Andy Van Vliet,William & Mary,Sr.,7-0,F,32,167,,,,,362,46.1,,,,,,277,8.7,,,41,1.28,,,,,,10,,,43,234
2019-2020,Anfernee McLemore,Auburn,Sr.,6-7,F,31,,,,,,,,,,,,,,,,,34,1.10,,,,,,,,,,
2019-2020,Anthony Cowan,Maryland,Sr.,6-0,G,31,139,56,172,506,16.3,,,,174,,212,81.1,,,147,4.7,,,,,69,2.13,,,1074:57,34:40,,
2019-2020,Anthony Edwards,Georgia,Fr.,6-5,-,32,203,72,132,610,19.1,505,,2.25,245,,171,77.2,,,,,,,43,,,,,,1059:54,,,
2019-2020,Anthony Lamb,Vermont,Sr.,6-6,F,33,184,54,128,550,16.7,448,,,184,,158,81.0,233,7.1,,,41,1.24,,,,,,6,,,44,189
2019-2020,Anthony Mathis,Oregon,Sr.,6-4,G,31,,69,,,,,,2.23,152,,,,,,,,,,,,,,,,,,,
2019-2020,Anthony Smith,Murray St.,Sr.,6-7,F,32,,,103,,,,,,,,146,,239,7.5,,,,,,,,,,7,,,84,155
2019-2020,Antoine Davis,Detroit Mercy,So.,6-1,G,30,237,101,154,729,24.3,623,,3.37,312,32.4,171,90.1,,,134,4.5,,,52,1.73,,,,,1102:46,36:45,,
2019-2020,Antonio Daye,FIU,So.,6-3,G,31,,,,,,,,,,,,,,,152,4.9,,,55,1.77,,,,,,,,
2019-2020,Antonio Green,Middle Tenn.,Sr.,6-2,G,31,,76,,,,,,2.45,230,,,,,,,,,,,,,,,,,,,
2019-2020,Antonio Spencer,Kennesaw St.,So.,-,F,23,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,50,
2019-2020,Antonio Williams,Kent St.,Sr.,6-0,G,30,173,,,,,345,50.1,,,,,,,,110,3.7,,,,,,,,,,,,
2019-2020,Ari Boya,Bradley,So.,7-1,C,31,,,,,,,,,,,,,,,,,45,1.45,,,,,,,,,,
2019-2020,Arinze Chidom,UC Riverside,So.,6-9,F,21,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
2019-2020,Armando Bacot,North Carolina,Fr.,6-10,F,32,,,,,,,,,,,,,264,8.3,,,36,1.13,,,,,,11,,,88,176
2019-2020,Armel Potter,George Washington,Sr.,6-1,G,28,,,121,,,,,,,,157,77.1,,,161,5.8,,,,,103,1.56,,4,,,,
2019-2020,Arnaldo Toro,George Washington,Sr.,6-8,F,24,,,,,,,,,,,,,167,7.0,,,,,,,,,,4,,,69,
2019-2020,Ashton Hagans,Kentucky,So.,6-6,G,30,,,115,,,,,,,,142,81.0,,,191,6.4,,,58,1.93,103,1.85,,,,,,
2019-2020,Au'Diese Toney,Pittsburgh,So.,6-6,G,30,,,,,,,,,,,,,,2.10,,,,,,,,,,,,,63,
2019-2020,Austen Awosika,Cal St. Fullerton,Sr.,6-3,G,31,,,90,,,,,,,,160,,,,132,4.3,,,,,70,1.89,,,1104:39,35:38,,
2019-2020,Austin Butler,Holy Cross,Jr.,6-5,G,30,,,,,,,,,,,,,,,,,,,,,,,,,1029:28,34:18,,
2019-2020,Austin Johnson,UC Irvine,Fr.,6-9,F,32,,,,,,,,,,,,,,,,,30,0.94,,,,,,,,,,
2019-2020,Austin Phyfe,UNI,So.,6-9,F,31,,,,,,,,,,,,,255,8.2,,,29,0.94,,,,,,9,,,102,153
2019-2020,Austin Reaves,Oklahoma,So.,6-5,G,31,,,140,,,,,,,,165,84.8,,,,,,,,,,,,,,,,
2019-2020,Austin Wiley,Auburn,Sr.,6-11,C,31,,,114,,,,,,,,170,,288,9.3,,,50,1.61,,,,,,13,,,111,177
2019-2020,Avery Sullivan,Lamar University,Jr.,6-8,C,32,,,,,,,,,,,,,261,8.2,,,32,1.00,,,,,,10,,,92,169
2019-2020,Avi Toomer,Bucknell,Sr.,6-3,G,31,,63,,,,,,2.03,157,,,,,,,,,,,,,,,,,,,
2019-2020,Ayinde Hikim,La Salle,Fr.,5-11,G,29,,,,,,,,,,,,,,,98,3.4,,,,,,,,,,,,
2019-2020,Ayo Dosunmu,Illinois,So.,6-5,G,30,196,29,77,498,16.6,405,48.4,,,,,,,,100,3.3,,,,,,,,,1005:55,33:31,,
2019-2020,Azar Swain,Yale,Jr.,6-0,G,29,156,93,60,465,16.0,397,,3.21,240,38.8,,,,,,,,,,,,,,,970:53,33:28,,
2019-2020,Ben Drake,Presbyterian,Sr.,6-8,F,32,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
2019-2020,Ben Pyle,Western Ill.,So.,6-7,F,26,,64,,,,,,2.46,148,,,,,,,,,,,,,,,,888:44,34:10,,
2019-2020,Ben Stanley,Hampton,So.,6-6,F,34,295,15,144,749,22.0,514,57.4,,,,224,,244,7.2,,,50,1.47,,,,,,8,1193:24,35:06,77,167
2019-2020,Ben Vander Plas,Ohio,So.,6-8,F,31,183,41,80,487,15.7,372,49.2,,,,,,214,6.9,,,,,,,,,,6,,,39,175
2019-2020,Bernie Andre,Northern Ariz.,Jr.,6-6,F,30,,,,,,,,,,,,,197,6.6,,,,,,,,,,,,,,145
2019-2020,Bill Wampler,Wright St.,Sr.,6-6,F,31,154,74,101,483,15.6,,,2.39,183,,129,78.3,,,,,,,,,,,,,,,,
2019-2020,Blake Francis,Richmond,Jr.,6-0,G,25,153,66,70,442,17.7,367,,2.64,182,36.3,87,80.5,,,,,,,,,,,,,,,,
2019-2020,Bo Hodges,ETSU,Jr.,6-5,G,33,163,,,,,325,,,,,,,,,,,,,47,1.42,,,,,,,,
2019-2020,Bodie Hume,Northern Colo.,So.,6-6,F,31,145,80,,,,367,,2.58,236,33.9,,,,,,,30,0.97,,,,,,,,,,
2019-2020,Bolden Brace,Northeastern,Sr.,6-6,G,33,,62,,,,,,,160,,,,217,6.6,,,,,,,,,,4,1082:09,,49,168
2019-2020,Booty Butler,Austin Peay,So.,6-0,G,32,,,,,,,,,,,,,,,107,3.3,,,,,47,2.28,,,,,,
2019-2020,Both Gach,Utah,So.,6-6,G,27,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2019-2020,Boubacar Toure,Eastern Mich.,Sr.,6-11,C,32,,,,,,,,,,,,,299,9.3,,,44,1.38,,,,,,13,,,105,194
2019-2020,Bourama Sidibe,Syracuse,Jr.,6-10,F,32,,,,,,,,,,,,,242,7.6,,,44,1.38,,,,,,5,,,89,153
2019-2020,Brad Brechting,Oakland,Sr.,6-11,C,32,,,,,,,,,,,,,,,,,29,,,,,,,5,,,,
2019-2020,Brad Greene,UC Irvine,Jr.,6-10,C,32,,,,,,,,,,,,,246,7.7,,,44,1.38,,,,,,9,,,81,165
2019-2020,Brady Manek,Oklahoma,Jr.,6-9,F,31,158,71,,,,349,45.3,2.29,187,,,,,4.81,,,37,1.19,,,,,,,,,,149
2019-2020,Braelen Bridges,UIC,So.,6-11,F,34,,,,,,,,,,,,,,,,,29,,,,,,,,,,,
2019-2020,Branden Carlson,Utah,Fr.,7-0,C,30,,,,,,,,,,,,,,,,,43,1.43,,,,,,,,,,
2019-2020,Brandon Anderson,Brown,Sr.,6-1,G,25,140,48,115,443,17.7,385,,,,,140,82.1,,,,,,,40,1.60,,,,,875:56,35:02,,
2019-2020,Brandon Austin,Samford,Sr.,6-5,G,32,,73,,,,,,2.28,180,,,,,,,,,,,,,,,,,,,
2019-2020,Brandon Boyd,California Baptist,Sr.,6-1,G,30,,,77,,,,,,,,90,85.6,,,90,,,,,,55,1.64,,,,,,
2019-2020,Brandon Childress,Wake Forest,Sr.,6-0,G,30,145,50,127,467,15.6,,,,,,157,80.9,,,138,4.6,,,,,88,1.57,,,1059:45,35:19,,
2019-2020,Brandon Horvath,UMBC,Jr.,6-10,F,33,,,,,,,,,,,,,221,6.7,,,,,,,,,,5,,,54,167
2019-2020,Brandon Johnson,Western Mich.,Jr.,6-8,F,32,173,22,124,492,15.4,377,45.9,,,,168,,258,8.1,,,31,0.97,,,,,,7,,,60,198
2019-2020,Brandon Kamga,Cal St. Fullerton,Sr.,6-5,G,29,151,50,98,450,15.5,355,42.5,,,,121,81.0,,,,,,,,,,,,,,,,
2019-2020,Brandon Key,South Dakota St.,Sr.,5-10,G,25,,,,,,,,,,,,,,,82,,,,,,53,1.55,,,,,,
2019-2020,Brandon Rachal,Tulsa,Jr.,6-5,G,30,,,100,,,,,,,,126,79.4,,,,,,,45,1.50,,,,4,,,,
2019-2020,Brandon Suggs,East Carolina,Fr.,6-6,G,31,,,82,,,,,,,,104,78.8,,,,,,,,,,,,,,,,
2019-2020,Braun Hartfield,San Diego,Jr.,6-5,G,32,157,,,,,369,,,,,,,,,,,,,,,,,,,1100:26,34:23,,
2019-2020,Braxton Key,Virginia,Sr.,6-8,G,27,,,,,,,,,,,,,199,7.4,,,,,,,,,,,907:07,33:35,,154
2019-2020,Breein Tyree,Ole Miss,Sr.,6-2,G,31,199,64,148,610,19.7,467,42.6,2.06,178,,180,82.2,,,,,,,,,,,,,1071:51,34:34,,
2019-2020,Brendan Medley-Bacon,Coppin St.,So.,7-0,C,31,,,,,,,,,,,,,275,8.9,,,66,2.13,,,,,,8,,,64,211
2019-2020,Brevin Galloway,Col. of Charleston,Jr.,6-2,G,31,,74,,,,,,2.39,204,,,,,,,,,,69,2.23,,,,,,,,
2019-2020,Brian Fobbs,Towson,Sr.,6-4,G,32,179,54,110,522,16.3,414,43.2,,,,132,83.3,,,,,,,,,,,,,1030:08,,,
2019-2020,Brian Thomas,FGCU,Jr.,6-9,F,20,,,,,,,,,,,,,,,,,34,,,,,,,,,,,
2019-2020,Brian Warren,UT Arlington,Sr.,5-9,G,32,,,90,,,,,,,,110,81.8,,,117,3.7,,,,,68,1.72,,,,,,
2019-2020,Brian White,Northwestern St.,So.,5-6,G,27,,,,,,,,,,,,,,,83,,,,,,60,1.38,,,,,,
2019-2020,Brison Gresham,Houston,Jr.,6-9,F,31,,,,,,,,,,,,,,,,,37,1.19,,,,,,,,,,
2019-2020,Brock Miller,Utah St.,So.,6-5,G,34,,61,,,,,,,200,,,,,,,,,,,,,,,,,,,
2019-2020,Brooks DeBisschop,Northern Ariz.,Sr.,6-9,F,28,150,,,,,268,56.0,,,,,,236,8.4,84,,27,0.96,,,53,1.58,,7,934:32,33:22,82,154
2019-2020,Bryce Barnes,William & Mary,Sr.,5-11,G,30,,,,,,,,,,,,,,,103,3.4,,,,,65,1.58,,,,,,
2019-2020,Bryce Fowler,Sacramento St.,Jr.,6-6,G,29,,,,,,,,,,,,,,,99,3.4,,,,,47,2.11,,,,,,
2019-2020,Bryce Hamilton,UNLV,So.,6-4,G,32,192,38,91,513,16.0,424,45.3,,,,,,,,,,,,,,,,,4,,,,
2019-2020,Bryce Nze,Butler,Jr.,6-7,F,31,,,,,,,,,,,,,204,6.6,,,,,,,,,,,,,74,130
2019-2020,Bryson Langdon,Northern Ky.,So.,5-9,G,31,,,,,,,,,,,,,,,101,,,,,,55,1.84,,,,,,
2019-2020,Bryson Mozone,USC Upstate,So.,6-6,G,33,,62,,,,,,,160,,,,,,,,,,,,,,,,,,,
2019-2020,Bryson Robinson,New Orleans,Sr.,6-4,G,30,163,87,125,538,17.9,403,,2.90,243,35.8,143,87.4,,,,,,,,,,,,,1019:34,33:59,,
2019-2020,Bryson Williams,UTEP,Jr.,6-8,F,32,212,31,116,571,17.8,425,49.9,,,,143,81.1,229,7.2,,,30,0.94,,,,,,5,,,53,176
2019-2020,Buddy Boeheim,Syracuse,So.,6-6,G,32,177,97,40,491,15.3,434,,3.03,262,37.0,,,,,,,,,,,,,,,1137:13,35:32,,
2019-2020,Byron Frohnen,UTSA,Sr.,6-6,F,32,,,,,,,,,,,,,222,6.9,,,,,,,,,,,,,80,142
2019-2020,C.J. Brim,North Ala.,Jr.,5-9,G,30,,,78,,,,,,,,100,78.0,,,,,,,,,,,,,,,,
2019-2020,C.J. Bryce,NC State,Sr.,6-5,G,28,141,,,,,320,44.1,,,,,,,,,,,,,,,,,5,938:16,33:30,,
2019-2020,C.J. Jones,Middle Tenn.,Jr.,6-5,G,30,170,78,67,485,16.2,396,42.9,2.60,195,40.0,,,,,,,,,,,,,,,1031:16,34:22,,
2019-2020,CJ Elleby,Washington St.,So.,6-6,G,32,197,74,121,589,18.4,498,,2.31,218,,147,82.3,251,7.8,,,,,56,1.75,,,,8,1069:51,33:25,39,212
2019-2020,CJ Walker,Ohio St.,Jr.,6-1,G,31,,,,,,,,,,,,,,,107,3.5,,,,,54,1.98,,,,,,
2019-2020,Caden Sanchez,High Point,Jr.,6-8,F,32,,,,,,,,,,,,,,2.31,,,32,1.00,,,,,,,,,74,
2019-2020,Caleb Catto,FGCU,So.,6-5,G,32,,62,,,,,,,183,,,,,,,,,,,,,,,,1033:52,,,
2019-2020,Caleb Fields,Arkansas St.,Fr.,6-0,G,31,,,131,,,,,,,,187,,,,110,3.5,,,,,59,1.86,,,,,,
2019-2020,Caleb Homesley,Liberty,Sr.,6-4,G,30,172,52,64,460,15.3,363,47.4,,,,,,,5.23,,,,,,,,,,,,,,157
2019-2020,Caleb Hunter,Mississippi Val.,Fr.,5-10,G,28,154,72,59,439,15.7,464,,2.57,259,27.8,,,,,,,,,40,1.43,,,,,,,,
2019-2020,Caleb Mills,Houston,Fr.,6-3,G,31,143,,,,,371,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Callum McRae,UC Riverside,So.,7-1,C,32,,,,,,,,,,,,,,,,,33,1.03,,,,,,4,,,,
2019-2020,Calvin Wishart,Ga. Southern,So.,6-1,G,29,,59,,,,,,2.03,,,,,,,,,,,,,,,,,,,,
2019-2020,Cam Alford,Alabama A&M,Fr.,6-1,G,30,,,,,,,,,,,,,,4.83,,,,,,,,,,,,,,145
2019-2020,Cam Davis,Navy,Jr.,6-1,G,30,168,64,88,488,16.3,412,,2.13,193,,,,,,,,,,,,,,,,1039:36,34:39,,
2019-2020,Cam Mack,Nebraska,So.,6-2,G,28,,,,,,,,,,,,,,,179,6.4,,,,,74,2.42,1,5,974:33,34:48,,
2019-2020,Cam Shelton,Northern Ariz.,So.,6-2,G,30,147,,127,,,370,,,,,175,,,,133,4.4,,,44,1.47,72,1.85,,,1049:23,34:58,,
2019-2020,Cameron Healy,UAlbany,So.,6-3,G,31,,80,89,,,,,2.58,225,35.6,98,90.8,,,,,,,,,,,,,,,,
2019-2020,Cameron Krutwig,Loyola Chicago,Jr.,6-9,C,32,201,0,80,482,15.1,357,56.3,,,,,,260,8.1,133,4.2,,,,,81,1.64,1,9,,,58,202
2019-2020,Cameron McGriff,Oklahoma St.,Sr.,6-7,F,32,,,104,,,,,,,,125,83.2,212,6.6,,,,,,,,,,,,,65,147
2019-2020,Cameron Oluyitan,Southern Utah,Sr.,6-7,G,32,,,81,,,,,,,,95,85.3,,,,,,,,,,,,,1067:12,33:21,,
2019-2020,Cameron Parker,Sacred Heart,So.,6-2,G,18,,,,,,,,,,,,,,,141,,,,,,,,,4,,,,
2019-2020,Cameron Tucker,Alabama A&M,Fr.,6-1,G,30,,,75,,,,,,,,97,77.3,,,108,3.6,,,,,,,,,,,,
2019-2020,Camren Wynter,Drexel,So.,6-2,G,33,192,44,89,517,15.7,432,44.4,,,,,,,,168,5.1,,,54,1.64,116,1.45,,,1208:38,36:37,,
2019-2020,Carl Pierre,Massachusetts,Jr.,6-4,G,31,,75,,,,,,2.42,224,,,,,,,,,,,,,,,,1037:35,33:28,,
2019-2020,Carlik Jones,Radford,Jr.,6-0,G,32,218,47,158,641,20.0,447,48.8,,,,194,81.4,,,175,5.5,,,45,1.41,75,2.33,,4,1058:11,,,
2019-2020,Carlos Dotson,Western Caro.,Sr.,6-7,F,30,180,0,106,466,15.5,295,61.0,,,,185,,291,9.7,,,,,,,,,,18,,,84,207
2019-2020,Carlos Johnson,Grand Canyon,Sr.,6-4,G,30,159,45,101,464,15.5,351,45.3,,,,136,,,,,,,,,,,,,,1024:14,34:08,,
2019-2020,Carlos Paez,Austin Peay,Fr.,5-11,G,33,,,,,,,,,,,,,,,114,3.5,,,42,,44,2.59,,,,,,
2019-2020,Carlton Bragg,New Mexico,Sr.,6-10,F,15,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
2019-2020,Carson Williams,Western Ky.,Jr.,6-5,F,30,151,,,,,272,55.5,,,,,,198,6.6,,,,,,,,,,,1024:05,34:08,70,
2019-2020,Carter Hendricksen,North Florida,So.,6-7,F,33,163,84,81,491,,383,,2.55,228,36.8,,,233,7.1,,,,,,,,,,5,1057:03,,45,188
2019-2020,Cartier Diarra,Kansas St.,Jr.,6-4,G,31,,,,,,,,,,,,,,,134,4.3,,,58,1.87,,,,,,,,
2019-2020,Cassius Winston,Michigan St.,Sr.,6-0,G,30,185,73,115,558,18.6,413,44.8,2.43,169,,135,85.2,,,176,5.9,,,,,96,1.83,,,,,,
2019-2020,Cedric Russell,Louisiana,Jr.,6-2,G,32,159,74,68,460,,388,,2.31,219,,,,,,,,,,,,,,,,1077:51,33:40,,
2019-2020,Chad Bowie,Sam Houston,Sr.,6-2,G,30,,,,,,,,,,,,,,,,,,,63,2.10,,,,,,,,
2019-2020,Chad Lott,South Alabama,Sr.,6-4,G,31,177,,,,,317,55.8,,,,,,,,,,,,,,,,,,,,,
2019-2020,Chance Hunter,Long Beach St.,So.,6-6,G,32,165,,,,,364,45.3,,,,,,,,,,,,,,,,,,,,,
2019-2020,Chancellor Ellis,Prairie View,Sr.,6-4,G,31,,61,,,,,,,167,,,,,,,,,,,,,,,,,,,
2019-2020,Chandler Vaudrin,Winthrop,Jr.,6-7,G,33,,,74,,,,,,,,148,,,4.82,191,5.8,,,45,,88,2.17,1,,,,,159
2019-2020,Channel Banks,Akron,Sr.,6-4,G,31,,76,,,,,,2.45,185,,,,,,,,,,,,,,,,,,,
2019-2020,Charles Bassey,Western Ky.,So.,6-11,C,10,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
2019-2020,Charles Minlend,San Francisco,Jr.,6-4,G,34,172,,101,491,,413,,,,,157,,,,,,,,,,,,,,,,,
2019-2020,Charles Pride,Bryant,Fr.,6-4,G,29,,,,,,,,,,,,,,2.28,,,,,,,,,,,,,66,
2019-2020,Charles Williams,Howard,Sr.,6-6,G,33,214,48,134,610,18.5,517,,,,,191,,,,,,,,,,,,,,1128:02,34:10,,
2019-2020,Charlie Moore,DePaul,Jr.,5-11,G,32,164,53,116,497,15.5,436,,,,,143,81.1,,,196,6.1,,,49,1.53,112,1.75,,4,1136:13,35:30,,
2019-2020,Chase Adams,Portland,Fr.,5-8,G,32,,,,,,,,,,,,,,,117,3.7,,,56,1.75,80,1.46,,,,,,
2019-2020,Chase Freeman,Wagner,Jr.,5-11,G,26,,,,,,,,,,,,,,,80,,,,,,31,2.58,,,914:24,35:10,,
2019-2020,Chauncey Hawkins,St. Francis Brooklyn,Jr.,5-8,G,31,150,31,138,469,15.1,377,,,,,169,81.7,,,100,,,,55,1.77,74,1.35,,,,,,
2019-2020,Cheikh Mbacke Diong,UNLV,Jr.,6-11,F,32,,,,,,,,,,,,,252,7.9,,,37,1.16,,,,,,5,,,95,157
2019-2020,Chevez Goodwin,Wofford,Jr.,6-9,F,35,176,,,,,275,64.0,,,,,,218,2.40,,,38,1.09,,,,,,5,,,84,134
2019-2020,Chier Maker,Idaho St.,Sr.,6-7,F,30,,,,,,,,,,,,,,2.27,,,,,,,,,,,,,68,
2019-2020,Chris Brandon,Detroit Mercy,So.,6-8,F,31,,,,,,,,,,,,,251,8.1,,,44,1.42,,,,,,4,,,97,154
2019-2020,Chris Clarke,Texas Tech,Sr.,6-6,F,30,,,,,,,,,,,,,199,6.6,137,4.6,,,,,67,2.04,,,,,,152
2019-2020,Chris Duarte,Oregon,Jr.,6-6,G,28,,,,,,,,,,,,,,,,,,,47,1.68,,,,,,,,
2019-2020,Chris Efretuei,ULM,Jr.,7-1,C,28,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,58,
2019-2020,Chris Ford,Norfolk St.,So.,6-8,F,29,,,,,,,,,,,,,,,,,28,0.97,,,,,,,,,,
2019-2020,Chris Harris Jr.,Houston,Sr.,6-10,C,30,,,,,,,,,,,,,,2.67,,,61,2.03,,,,,,,,,80,
